data_size,score4,score0,score1,score2,score3,scores_mean,scores_std,stock
73616,0.531,0.602,0.599,0.587,0.549,0.574,0.057,BBDC4
71869,0.56,0.679,0.614,0.595,0.558,0.601,0.088,ABEV3
72730,0.586,0.668,0.636,0.617,0.573,0.616,0.069,CMIG4
70227,0.567,0.604,0.572,0.569,0.553,0.573,0.033,CPFE3
60945,0.539,0.66,0.615,0.579,0.543,0.587,0.092,CIEL3
73987,0.546,0.556,0.557,0.554,0.567,0.556,0.013,VALE5
71984,0.532,0.56,0.56,0.538,0.52,0.542,0.032,BRFS3
73612,0.565,0.61,0.622,0.6,0.568,0.593,0.045,JBSS3
57774,0.518,0.52,0.517,0.528,0.519,0.52,0.008,BOVA11
72492,0.533,0.6,0.58,0.569,0.565,0.569,0.043,BRKM5
74021,0.564,0.548,0.56,0.563,0.55,0.557,0.013,PETR4
71659,0.561,0.54,0.543,0.556,0.565,0.553,0.02,BRAP4
29491,0.529,0.544,0.535,0.551,0.538,0.539,0.015,BBSE3
68494,0.567,0.615,0.564,0.582,0.571,0.58,0.037,BRML3
73865,0.54,0.573,0.577,0.567,0.55,0.561,0.028,BBAS3
68563,0.554,0.616,0.608,0.589,0.58,0.589,0.043,BVMF3
72054,0.532,0.546,0.542,0.538,0.54,0.54,0.009,NATU3
65996,0.536,0.636,0.607,0.569,0.552,0.58,0.073,BBDC3
71482,0.547,0.643,0.618,0.584,0.572,0.593,0.068,CCRO3
